idrid	image_id	data_location	is_zarr	download_url	client_path	bia_ngff_id	bia_url	external_info
idr0173	15190881		True				https://www.ebi.ac.uk/biostudies/studies/S-BIAD2216	s3://uk1s3.embassy.ebi.ac.uk/bia-idr-integration/S-BIAD2216/microglia_zipped/HC/caudate/HC10/Patient_ImageStack_0000.ome.zarr/?anonymous=true
idr0170	15179941	Github	True	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0170-rose-mibitof	data/idr-metadata/idr0170-rose-mibitof/experimentA/../metadata/RPM-TMA-1_ROI01_multichannel.ome.xml		https://www.ebi.ac.uk/biostudies/studies/S-BIAD1961	/bia-idr/S-BIAD1961/experimentA/RPM-TMA/RPM-TMA-1_ROI01_multichannel.zarr/RPM-TMA-1_ROI01_multichannel.zarr
idr0168	15180114	BIA	True		bia-idr/S-BIAD1891/A375_6_ATP13A5_Z-stack_HF_01_2024-03-06_YunHao_23.31.23.zarr/OME/METADATA.ome.xml		https://www.ebi.ac.uk/biostudies/studies/S-BIAD1891	/bia-idr/S-BIAD1891/A375_6_ATP13A5_Z-stack_HF_01_2024-03-06_YunHao_23.31.23.zarr/0
idr0165	15160018	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0165-duinkerken-hyperspectraledx	uod/idr/filesets/idr0165-duinkerken-hyperspectraledx/Figure1_Multichannel.ome.tif			
idr0164	15170766	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0164-alzubi-hdbr	uod/idr/filesets/idr0164-alzubi-hdbr/ACE2-TMPRSS2/2021-06-22 16.36.34-2-20PCW-KIDNEY.ndpi			
idr0163	15159261	Github	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0163-greenwald-tnbc	uod/idr/metadata/idr0163-greenwald-tnbc/companions/TONIC_TMA10_R10C6.companion.ome		https://www.ebi.ac.uk/biostudies/studies/S-BIAD1288	
idr0161	15159234	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0161-yayon-thymus	uod/idr/filesets/idr0161-yayon-thymus/IBEX/IBEX_01.ome.tif		https://www.ebi.ac.uk/biostudies/studies/S-BIAD1257	
idr0160	15176242	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0160-lippincott-pyroptosis	uod/idr/filesets/idr0160-lippincott-pyroptosis/Images/r13c15f06p01-ch5sk1fk1fl1.tiff			
idr0159	15159985	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0159-strobl-insectlightsheet	uod/idr/filesets/idr0159-strobl-insectlightsheet/Strobl2014A/DS0001/B1-Strobl2014A-DS0001TP(TS)DR0001CH0001PL(ZS).ome.tif			
idr0158	15159140	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0158-radtke-lymphoma	uod/idr/filesets/idr0158-radtke-lymphoma/FL10/CellDIVE_IBEX_Immune_FL10.ims			
